title,artist
Angel of Mine - Radio Mix,Monica
Un-Break My Heart,Toni Braxton
The Power of Love - Radio Edit,C?line Dion
When a Man Loves a Woman,Michael Bolton
I Can't Make You Love Me,Bonnie Raitt
This Kiss,Faith Hill
I Love You Always Forever,Donna Lewis
Rush Rush,Paula Abdul
Say My Name,Destiny's Child
"Baby, I Love Your Way",Big Mountain
Love No Less Worthy,J. Tillman
How We Used to Love,Siv Jakobsen
Untamed,Eddie Berman
Great Divide,Ira Wolf
Winded,Nathaniel Rateliff
White Fawn,Beta Radio
Reunite,Isbells
Let Me Down Easy,Andrea von Kampen
Sophie,Bear's Den
Olivia,Rayland Baxter
Whole Wide World,Bahamas
Ramona,Night Beds
Awake Me,Rosie Carney
Left for America,Ciaran Lavery
Waiting for You,Isobel Anderson
I Like to Be With Me When I'm With You,Drew Holcomb & The Neighbors
The Girl I Haven't Met,Nate Richert
I Don't Want to Leave,Matthew Perryman Jones
Lonelily,Damien Rice
Don't Get Too Close,Nathaniel Rateliff
From Afar,Vance Joy
The Light,Roanoke
Sweet Love of Mine (Acoustic),Joy Williams
Sudden Love - Acoustic,The Woodlands
Tape 03,Monica Heldal
I'm so in Love with You (feat. Seth Avett),Jill Andrews
Who Should Follow Who?,Run Boy Run
Someone New,Hozier
Flowers In Your Hair,The Lumineers
Bittersweet,Kasey Chambers
Drive-In Movies,Ray LaMontagne
Tired of Saying Sorry,Annalisa Tornfelt
Lovers' Eyes,Mumford & Sons
I Had Me a Girl - Acoustic,The Civil Wars
Saltwater,The Daydream Club
Sea Of Love,Langhorne Slim
Bartering,The Ballroom Thieves
My Love Grows,Applewood Road
My Happiness (feat. Fiona Prine),John Prine
June & Johnny,Jon Foreman
I Thought That We Said Goodbye,Teddy Thompson
Gold,Matt Hartke
Sweet Hurt,Jack Savoretti
XO,John Mayer
Wild Heart,Desiree Dawson
Winners,Trampled by Turtles
Marry Me,Venus and the Moon
What You Said,The Jepettos
La Di Da,Lera Lynn
Shake - Live from Spotify Berlin,The Head and the Heart
Chandelier Love,Nathan Reich
Into Dust,Mazzy Star
The One You Love,Passenger
From Eden,Hozier
Drunk on the Heartache,Aaron Krause
Love Is a Devil,Laneway
Soft Skin,Mountain Man
The Future,Anna Barnett
I Was Born to Love Her,Ivan & Alyosha
Song About a Song,Alana Henderson
My Heart Is Not A Machine,Whitley
Come to Me,Lily & Madeleine
Cigarettes,Noah Gundersen
Girl That I Love,Falls
Restless Heart,The Sea The Sea
Spells you,Sumie
You My Love,Marcus Foster
Until I'm One with You,Ryan Bingham
Song for Lovers,The D©ª
Will You Love Me,The Vespers
Passion Play,William Fitzsimmons
Social Wedding Rings,Mount Moriah
Do You Hear Wedding Bells (Low Down Version),Doug Burr
O I Long to Feel Your Arms Around Me,Father John Misty
Love Love Love,Of Monsters and Men
Land of the Living,Roo Panes
From This Valley - Acoustic,The Civil Wars
Remember When,The Young Folk
There Was A Time,Mandolin Orange
Lover,Jane Ellen Bryant
Love is All,The Tallest Man On Earth
If I Loved You (feat. Lindsey Buckingham),Delta Rae
Love to Love,Jonathan Wilson
So Are You To Me,Eastmountainsouth
Be Good or Be Gone,Fionn Regan
Somebody to Love,Valerie June
Nothing Stays the Same,Luke Sital-Singh
The Way We Fall,Alela Diane
The World Began With a Waltz,Hidden Highways
A Heart Arcane,Horse Feathers
Only Love,Ben Howard
At Least My Heart Was Open,Foy Vance
Miss Lonelyhearts,Robin Pahlman
Little Love Caster,Laura Marling
Won't You Come Over,Devendra Banhart
Eggshells,Rachel Sermanni
You Ain't Goin' Nowhere,Glen Hansard
Tip Of My Tongue,The Civil Wars
Heart,Craig Cardiff
Oh Undone,Lisa Hannigan
I Won't Fight It,Andrew Belle
Particles,Nothing But Thieves
Bloom (Online Bonus Track),The Paper Kites
Falling for the Evening,Golden Ears
Bloodstream,Stateless
Astronaut (Something About Your Love),Mansionair
Mess Is Mine,Vance Joy
I Found,Amber Run
Dead Century,Wildlife
Cherry,Moose Blood
Honest,The Neighbourhood
Gooey,Glass Animals
Big Jet Plane,Angus & Julia Stone
Old Pine,Ben Howard
1435,Selfish Things
You're Somebody Else,flora cash
Loneliness,Aaron Taos
Many Lives,Andrew Belle
Holocene,Bon Iver
Heart Beat Here,Dashboard Confessional
Indigo Puff,Sundara Karma
Grow Old with Me,Tom Odell
Call Me Back,Young the Giant
Dream,Imagine Dragons
She's Casual,The Hunna
Wait for Me,Kings of Leon
Shell Suite,Chad Valley
The Only Exception,Paramore
Leaving,Castlecomer
Just Say When (Version 2.0),Nothing More
Swing,Josiah and the Bonnevilles
Trembling Hands,The Temper Trap
Georgia,Vance Joy
Hanging On,Active Child
Details,Andrew Belle
Taking You There,Broods
Litost,X Ambassadors
"Sleepwalking, Pt. I (Acoustic)",Alvarez Kings
The Enemy,Andrew Belle
Cocoa Hooves,Glass Animals
We All Die Trying to Get It Right,Vance Joy
Fast Challenges,Chad Valley
Adore,Amy Shark
If I Get High,Nothing But Thieves
"Shake, Shake, Shake",Bronze Radio Return
Flashed Junk Mind,Milky Chance
Time to Wander,Gypsy & The Cat
Sit Next to Me,Foster The People
Free Animal,Foreign Air
Flowers In Your Hair,The Lumineers
It's Too Much,Moose Blood
Simple Pleasures,Jake Bugg
Dark Matter,Andrew Belle
Better Life,Paper Route
Darlin',Goodbye June
Hold On,Alabama Shakes
Emmylou,Vance Joy
Luna - Remastered,The Smashing Pumpkins
Float,Pacific Air
I Love the Rain the Most,Joe Purdy
My Heart's Always Yours,Arkells
Our Hearts Are Wrong,Jessica Lea Mayfield
Decorate,Yuna
Weekends,Amy Shark
Seasons (Waiting On You),Future Islands
Pieces,Andrew Belle
Play with Fire,Vance Joy
Missing You,DWNTWN
Will Do,TV On The Radio
Dreaming My Dreams,The Cranberries
Fade Into You,Mazzy Star
Echo,Incubus
Let Me In,Grouplove
YOU,Morgan Saint
All For You,Night Riots
The Wilhelm Scream,James Blake
Anemone,Joywave
Crystals,Of Monsters and Men
Fears,Twin Wild
Guru,Coast Modern
The Ghost Who Walks,Karen Elson
Don't Move,Phantogram
"Lover, Please Stay",Nothing But Thieves
No Way,The Naked And Famous
Sweet Emotion,The Kooks
Komorebi,Craft Spells
"Lover, You Should've Come Over",Jeff Buckley
On Call,Kings of Leon
Tell Me Why,Nine Pound Shadow
Drive You Mad,Amy Shark
You & Me - Flume Remix,Disclosure
Westside,The Kooks
Down With Me,X Ambassadors
Fall In Love,Phantogram
"The Blue, The Green",Lonely The Brave
All These Girls,Atlas Genius
I Wanna Be Yours,Arctic Monkeys
You & I,Local Natives
Follow You,Night Riots
For Me This Is Heaven,Jimmy Eat World
Cupid,112
Soon As I Get Home,Faith Evans
"Any Time, Any Place",Janet Jackson
Shhh,Tevin Campbell
Insatiable,Prince
Anytime,Brian McKnight
Cherish the Day,Sade
At Your Best (You Are Love),Aaliyah
All I Do Is Think of You,Troop
I Gotta Be,Jagged Edge
Before I Let You Go,Blackstreet
"All the Times (feat. Faith Evans, Coko & Missy Elliott)",LSG
Kissin' You,Total
Knockin' da Boots,H-Town
Softest Place On Earth,Xscape
Beauty,Dru Hill
Giving Him Something He Can Feel,En Vogue
Nobody (feat. Athena Cage),Keith Sweat
All The Things (Your Man Won't Do),Joe
Nothing Even Matters,Ms. Lauryn Hill
Let's Chill,Guy
If I Ever Fall In Love,Shai
U Send Me Swingin',Mint Condition
Sending My Love,Zhan?
How Many Ways,Toni Braxton
It Never Rains (In Southern California),Tony! Toni! Ton?!
I Get Lonely,Janet Jackson
Take Our Time,TLC
You're Always On My Mind,SWV
All I See,Christopher Williams
Love U 4 Life,Jodeci
Baby I'm Ready,Levert
Ready Or Not,After 7
Stay,Jodeci
Uhh Ahh,Boyz II Men
Freak Me,Silk
Pleasure & Pain,112
Scandalous,Prince
Happily Ever After,Case
Other Side Of The Game,Erykah Badu
Let's Stay Together - Midnight Mix,Eric Ben?t
Cruisin',D'Angelo
Use Your Heart,SWV
You Put a Move on My Heart,Tamia
Lose Control,Silk
I Got A Thang 4 Ya!,Lokey
When Can I See You,Babyface
L-O-V-E - Remastered,Nat King Cole
You Make Me Feel So Young - Remastered 1998,Frank Sinatra
Can't Take My Eyes Off You,Andy Williams
Put Your Head On My Shoulder,Paul Anka
It's Not for Me to Say - From the MGM Film Lizzie,Johnny Mathis
Singin¡¯ In The Rain (from Singin¡¯ In The Rain),Gene Kelly
Unforgettable,Nat King Cole
Volare (Nel Blu Di Pinto Di Blu) - Remastered,Dean Martin
Dream A Little Dream,Robbie Williams
On An Evening In Roma (Sott'er Celo De Roma) - Remastered,Dean Martin
Georgia On My Mind,Ray Charles
She's Always a Woman,Billy Joel
Unchained Melody,The Righteous Brothers
Fly Me To The Moon (In Other Words),Frank Sinatra
It Had to Be You (Big Band and Vocals),"Harry Connick, Jr."
Misty,Johnny Mathis
